"instr name","Immersion","Feedback","Expression"
"10Control","2","2","1"
"1130 Drum Controller","2","2","1"
"4Control","2","2","1"
"Accordiatron","2","2","2"
"Airdrum","3","1","2"
"AirSynth","3","1","2"
"aXiO","2","2","3"
"BigEye","5","1","3"
"bioakustik","5","3","3"
"biofeedback","5","1","3"
"Biomuse","5","1","3"
"Bit Stream Pro","2","2","3"
"Bodysuit","5","1","3"
"BodySynth","5","1","3"
"BoSSA","2","2","3"
"Brocton-X Drum Suit","4","1","2"
"Bug-Mudra / Exos Dexterous Hand Master","4","2","2"
"Celleto","2","2","3"
"ChordBoard","2","2","2"
"Chromasone","4","1","3"
"Contact","2","2","1"
"Continuum Fingerboard","2","1","2"
"Control Freak","2","2","3"
"Control Suit","4","1","1"
